ID1_G;ID2_G;ID_T_G;ID_R_G;RESULT_G;DATE_G;rank_1;points_1;rank_2;points_2
17613;18854;8887;4;7-6(8) 3-6 10-7;2012-01-31;901;0;901;0
25192;25191;8888;4;6-3 6-2;2012-01-31;901;0;901;0
918;10828;8957;4;6-1 6-2;2012-01-31;144;375;271;175
3316;2379;8957;4;6-4 7-6(5);2012-01-31;193;254;141;381
7869;6277;8957;4;6-4 6-4;2012-01-31;215;223;152;352
2107;7136;8957;4;7-5 5-7 6-3;2012-01-31;329;134;317;140
678;72;8887;4;6-1 6-4;2012-01-31;33;1140;51;899
563;13796;8887;4;6-4 6-4;2012-01-31;901;0;72;688
745;775;8888;4;7-6(3) 6-1;2012-01-31;105;0;198;243
75;1266;8888;4;6-4 7-6(4);2012-01-31;39;0;67;710
749;7826;8888;4;6-2 6-1;2012-01-31;61;0;148;362
638;13651;8888;4;6-3 6-1;2012-01-31;35;0;354;118
6002;5058;8957;4;6-4 6-2;2012-01-31;122;0;185;263
9839;4454;8957;4;7-6(6) 6-2;2012-01-31;139;0;340;125
920;11923;8957;4;6-3 6-4;2012-01-31;145;0;181;269
1823;4078;8957;4;6-3 6-1;2012-01-31;220;0;140;383
578;6691;8887;4;6-3 6-2;2012-01-31;78;0;66;724
453;7806;8887;4;6-3 7-5;2012-01-31;110;0;101;563
520;760;8888;4;6-1 6-3;2012-01-31;41;0;56;815
5554;25199;8888;4;6-3 6-4;2012-01-31;901;0;901;0
468;516;8887;4;6-4 7-6(7);2012-01-31;15;0;80;657
25197;15916;8888;4;7-6(2) 6-4;2012-01-31;901;0;901;0
655;6642;8888;4;7-6(2) 6-3;2012-01-31;46;0;111;527
3685;2123;8889;4;6-3 5-7 6-1;2012-01-31;99;0;106;544
935;838;8889;4;7-5 6-0;2012-01-31;55;0;104;547
9839;22906;8882;2;4-6 6-1 6-3;2012-01-01;901;0;901;0
1162;12896;8882;2;6-7(12) 6-3 6-4;2012-01-01;901;0;901;0
11517;578;8882;4;6-4 6-4;2012-01-01;901;0;901;0
