ID_T,ID_C_T,RANK_T,PRIZE_T,LATITUDE_T,LONGITUDE_T,TYPE_T_1,TYPE_T_2,TYPE_T_3,TYPE_T_4,TYPE_T_5,TYPE_T_6
1,1,2,12.211714890613973,-34.55,138.35,1,0,0,0,0,0
2,1,2,61.79834947972731,25.17,51.32,1,0,0,0,0,0
3,1,2,587.6510597302505,-36.52,174.46,1,0,0,0,0,0
4,1,2,3874.894312267658,-33.52,151.13,1,0,0,0,0,0
5,1,4,6434.831325301205,-37.49,144.58,1,0,0,0,0,0
6,4,2,2406.941653260699,31.14,121.28,0,0,0,1,0,0
7,4,2,3470.2631578947367,45.48,15.58,0,0,0,1,0,0
8,1,2,2406.941653260699,25.18,55.18,1,0,0,0,0,0
9,4,2,2406.941653260699,43.18,5.24,0,0,0,1,0,0
10,3,2,2406.941653260699,37.2,-121.54,0,0,1,0,0,0
11,4,2,2406.941653260699,51.13,4.25,0,0,0,1,0,0
12,3,2,2406.941653260699,35.09,-90.03,0,0,1,0,0,0
13,4,2,2406.941653260699,45.28,9.12,0,0,0,1,0,0
14,3,2,2406.941653260699,39.57,-75.1,0,0,1,0,0,0
15,4,2,2406.941653260699,51.55,4.29,0,0,0,1,0,0
16,1,2,2406.941653260699,33.31,-111.54,1,0,0,0,0,0
17,4,2,2406.941653260699,55.4,12.35,0,0,0,1,0,0
18,1,3,2406.941653260699,35.4,-117.52,1,0,0,0,0,0
19,1,3,2406.941653260699,25.42,-80.1,1,0,0,0,0,0
20,4,2,2406.941653260699,59.55,30.15,0,0,0,1,0,0
21,2,2,2406.941653260699,33.39,-7.35,0,1,0,0,0,0
22,1,2,2406.941653260699,13.05,80.17,1,0,0,0,0,0
23,2,2,2406.941653260699,38.42,-9.23,0,1,0,0,0,0
24,1,2,2406.941653260699,22.17,114.09,1,0,0,0,0,0
25,2,2,2406.941653260699,41.23,2.11,0,1,0,0,0,0
26,1,2,2406.941653260699,35.42,139.46,1,0,0,0,0,0
27,2,3,2406.941653260699,43.45,7.25,0,1,0,0,0,0
28,2,2,2406.941653260699,28.32,-81.23,0,1,0,0,0,0
29,2,2,2406.941653260699,33.45,-84.23,0,1,0,0,0,0
30,2,2,2406.941653260699,48.08,11.34,0,1,0,0,0,0
31,2,2,2406.941653260699,50.05,14.26,0,1,0,0,0,0
32,2,2,2406.941653260699,26.16,-80.15,0,1,0,0,0,0
33,2,3,2406.941653260699,53.33,9.59,0,1,0,0,0,0
34,2,3,2406.941653260699,41.54,12.29,0,1,0,0,0,0
35,2,2,2406.941653260699,48.12,15.37,0,1,0,0,0,0
37,2,4,2406.941653260699,48.52,2.2,0,1,0,0,0,0
38,2,2,2406.941653260699,44.29,11.2,0,1,0,0,0,0
39,5,2,2406.941653260699,51.59,9.33,0,0,0,0,1,0
40,5,2,2406.941653260699,51.3,-0.1,0,0,0,0,1,0
41,5,2,2406.941653260699,52.58,-1.1,0,0,0,0,1,0
42,5,2,2406.941653260699,51.43,5.22,0,0,0,0,1,0
43,5,4,2406.941653260699,51.3,-0.1,0,0,0,0,1,0
44,2,2,2406.941653260699,56.26,12.51,0,1,0,0,0,0
45,2,2,2406.941653260699,46.28,7.17,0,1,0,0,0,0
46,5,2,2406.941653260699,41.29,-71.19,0,0,0,0,1,0
47,2,2,2406.941653260699,48.46,9.11,0,1,0,0,0,0
48,1,2,2406.941653260699,38.54,-77.02,1,0,0,0,0,0
49,2,2,2406.941653260699,47.27,12.23,0,1,0,0,0,0
50,1,2,2406.941653260699,34.03,-118.15,1,0,0,0,0,0
51,2,2,2406.941653260699,45.25,13.32,0,1,0,0,0,0
52,2,2,2406.941653260699,52.22,4.54,0,1,0,0,0,0
53,1,3,2406.941653260699,45.31,-73.34,1,0,0,0,0,0
54,1,3,2406.941653260699,39.1,-84.27,1,0,0,0,0,0
55,2,2,2406.941653260699,43.55,12.28,0,1,0,0,0,0
56,1,2,2406.941653260699,39.46,-86.09,1,0,0,0,0,0
57,1,2,2406.941653260699,41.18,-72.56,1,0,0,0,0,0
58,1,2,2406.941653260699,42.22,-71.04,1,0,0,0,0,0
59,1,2,2406.941653260699,40.5,-73.0,1,0,0,0,0,0
60,1,4,2406.941653260699,40.43,-74.0,1,0,0,0,0,0
61,2,2,2406.941653260699,50.43,-1.54,0,1,0,0,0,0
62,2,2,2406.941653260699,36.31,-4.53,0,1,0,0,0,0
63,1,2,2406.941653260699,41.2,69.18,1,0,0,0,0,0
64,2,2,2406.941653260699,44.26,26.06,0,1,0,0,0,0
66,3,2,2406.941653260699,43.36,1.26,0,0,1,0,0,0
67,4,2,2406.941653260699,47.33,7.35,0,0,0,1,0,0
68,3,2,2406.941653260699,39.55,116.25,0,0,1,0,0,0
69,2,2,2406.941653260699,38.07,13.22,0,1,0,0,0,0
70,4,2,2406.941653260699,1.16,103.51,0,0,0,1,0,0
71,4,2,2406.941653260699,48.13,16.2,0,0,0,1,0,0
72,4,2,2406.941653260699,45.45,4.51,0,0,0,1,0,0
73,4,2,2406.941653260699,49.5,18.17,0,0,0,1,0,0
74,2,2,2406.941653260699,19.24,-99.09,0,1,0,0,0,0
75,4,3,2406.941653260699,48.46,9.11,0,0,0,1,0,0
76,2,2,2406.941653260699,4.36,-74.05,0,1,0,0,0,0
77,4,3,2406.941653260699,48.52,2.2,0,0,0,1,0,0
78,4,2,2406.941653260699,55.45,37.35,0,0,0,1,0,0
79,2,2,2406.941653260699,-33.27,-70.4,0,1,0,0,0,0
80,3,2,2406.941653260699,59.2,18.03,0,0,1,0,0,0
81,3,3,2406.941653260699,52.24,9.44,0,0,1,0,0,0
